Date,Open,High,Low,Close,Volume,Market Cap,Time Open,Time High,Time Low,Time Close
10-01-2024,46121.53982467068,47647.22098531946,44483.150861210546,46627.77911196135,50114613298.1,913669280076.61,2024-01-10T00:00:00.000Z,2024-01-10T23:20:00.000Z,2024-01-10T13:01:00.000Z,2024-01-10T23:59:59.999Z
09-01-2024,46987.63874100883,47893.701008309035,45244.71514804479,46139.73037485253,39821290991.56,904067321453.05,2024-01-09T00:00:00.000Z,2024-01-09T21:15:00.000Z,2024-01-09T21:27:00.000Z,2024-01-09T23:59:59.999Z
08-01-2024,43948.70695530909,47218.00112500118,43244.0816061893,46970.502314490135,42746192015.18,920302445948.27,2024-01-08T00:00:00.000Z,2024-01-08T21:42:00.000Z,2024-01-08T02:54:00.000Z,2024-01-08T23:59:59.999Z
07-01-2024,43998.46424256272,44495.57147077709,43662.22862707944,43943.0972289695,19330573863.32,860951836726.3,2024-01-07T00:00:00.000Z,2024-01-07T14:09:00.000Z,2024-01-07T23:45:00.000Z,2024-01-07T23:59:59.999Z
06-01-2024,44178.95460684357,44227.63130727937,43475.156430587216,43989.19409345742,16092503467.55,861821994190.94,2024-01-06T00:00:00.000Z,2024-01-06T00:10:00.000Z,2024-01-06T07:07:00.000Z,2024-01-06T23:59:59.999Z
05-01-2024,44192.97869877169,44353.28585929925,42784.71826590677,44162.69163022688,32336029346.8,865182724165.6,2024-01-05T00:00:00.000Z,2024-01-05T23:07:00.000Z,2024-01-05T01:49:00.000Z,2024-01-05T23:59:59.999Z
04-01-2024,42855.81476135893,44770.023413751536,42675.174006957976,44179.92170082684,30448091209.81,865482457123.12,2024-01-04T00:00:00.000Z,2024-01-04T22:22:00.000Z,2024-01-04T01:26:00.000Z,2024-01-04T23:59:59.999Z
03-01-2024,44961.60318680246,45503.2417949492,40813.53486816679,42848.17564096547,46342323118.41,839345928378.25,2024-01-03T00:00:00.000Z,2024-01-03T09:40:00.000Z,2024-01-03T12:10:00.000Z,2024-01-03T23:59:59.999Z
02-01-2024,44187.13903948764,45899.70635458977,44176.950442724454,44957.970054141806,39335274535.93,880631637169.92,2024-01-02T00:00:00.000Z,2024-01-02T09:07:00.000Z,2024-01-02T00:01:00.000Z,2024-01-02T23:59:59.999Z
01-01-2024,42280.23527619226,44175.43605251685,42214.97675463072,44167.33021407736,18426978443.25,865106026911.1,2024-01-01T00:00:00.000Z,2024-01-01T23:53:00.000Z,2024-01-01T06:02:00.000Z,2024-01-01T23:59:59.999Z
31-12-2023,42152.09845351626,42860.93739178426,41998.255345687416,42265.18565486596,16397498809.56,827811209384.42,2023-12-31T00:00:00.000Z,2023-12-31T09:46:00.000Z,2023-12-31T02:53:00.000Z,2023-12-31T23:59:59.999Z
30-12-2023,42091.75264367748,42584.123639534315,41556.22599229604,42156.901149763864,16013925944.56,825646829609.94,2023-12-30T00:00:00.000Z,2023-12-30T16:18:00.000Z,2023-12-30T09:45:00.000Z,2023-12-30T23:59:59.999Z
29-12-2023,42614.64389242392,43124.32585971283,41424.06064114939,42099.40280858003,26000021055.12,824484176968.87,2023-12-29T00:00:00.000Z,2023-12-29T14:43:00.000Z,2023-12-29T22:21:00.000Z,2023-12-29T23:59:59.999Z
28-12-2023,43468.19806267353,43804.78141757612,42318.54886190448,42627.85353136838,22992093013.71,834791614273.2,2023-12-28T00:00:00.000Z,2023-12-28T00:39:00.000Z,2023-12-28T16:28:00.000Z,2023-12-28T23:59:59.999Z
27-12-2023,42518.46852809159,43683.159808131255,42167.58348638977,43442.8545582321,25260941031.66,850720785457.95,2023-12-27T00:00:00.000Z,2023-12-27T22:18:00.000Z,2023-12-27T03:34:00.000Z,2023-12-27T23:59:59.999Z
26-12-2023,43599.847590419355,43603.17544166627,41676.48996845665,42520.401511268676,30026850981.84,832620130497.96,2023-12-26T00:00:00.000Z,2023-12-26T00:01:00.000Z,2023-12-26T17:40:00.000Z,2023-12-26T23:59:59.999Z
25-12-2023,43010.57292053332,43765.09214347553,42765.77113905394,43613.142084662155,21115795370.27,853982087896.47,2023-12-25T00:00:00.000Z,2023-12-25T13:03:00.000Z,2023-12-25T00:44:00.000Z,2023-12-25T23:59:59.999Z
24-12-2023,43728.36598968946,43945.5215615407,42786.91785562841,43016.11762118305,18830554084.77,842253948410.3,2023-12-24T00:00:00.000Z,2023-12-24T04:13:00.000Z,2023-12-24T22:17:00.000Z,2023-12-24T23:59:59.999Z
23-12-2023,44012.19863207335,44015.69864113365,43351.355701980894,43739.542137223485,13507796558.22,856371815373.69,2023-12-23T00:00:00.000Z,2023-12-23T00:02:00.000Z,2023-12-23T04:13:00.000Z,2023-12-23T23:59:59.999Z
22-12-2023,43868.98642235633,44367.95577178414,43441.96795230248,43997.901409954924,21028503216.23,861384314118.89,2023-12-22T00:00:00.000Z,2023-12-22T06:35:00.000Z,2023-12-22T14:30:00.000Z,2023-12-22T23:59:59.999Z
21-12-2023,43648.124930630205,44240.66912781174,43330.05264638347,43869.15085699366,22452766168.52,858819785954.74,2023-12-21T00:00:00.000Z,2023-12-21T13:56:00.000Z,2023-12-21T02:51:00.000Z,2023-12-21T23:59:59.999Z
20-12-2023,42261.30013864567,44275.58751248132,42223.81786147004,43652.24866801767,27868908174.14,854532316613.74,2023-12-20T00:00:00.000Z,2023-12-20T15:15:00.000Z,2023-12-20T02:09:00.000Z,2023-12-20T23:59:59.999Z
19-12-2023,42641.510213260655,43354.29659651157,41826.33515168842,42270.526139511014,23171001281,827447113190.4,2023-12-19T00:00:00.000Z,2023-12-19T02:01:00.000Z,2023-12-19T17:59:00.000Z,2023-12-19T23:59:59.999Z
18-12-2023,41348.202089156875,42720.29712722866,40530.2585192877,42623.5383250276,25224642007.51,834312073585.64,2023-12-18T00:00:00.000Z,2023-12-18T21:49:00.000Z,2023-12-18T10:38:00.000Z,2023-12-18T23:59:59.999Z
17-12-2023,42236.10834491327,42359.49611908532,41274.54351788462,41364.665918236955,16678702876,809628537784.36,2023-12-17T00:00:00.000Z,2023-12-17T17:15:00.000Z,2023-12-17T23:38:00.000Z,2023-12-17T23:59:59.999Z
16-12-2023,41937.74096800421,42664.94513555632,41723.11346624134,42240.119082050114,14386729589.96,826722808111.63,2023-12-16T00:00:00.000Z,2023-12-16T16:45:00.000Z,2023-12-16T00:40:00.000Z,2023-12-16T23:59:59.999Z
15-12-2023,43028.25069052711,43087.82377286698,41692.968038325074,41929.75839290097,19639442461.7,820610949396.45,2023-12-15T00:00:00.000Z,2023-12-15T00:30:00.000Z,2023-12-15T15:47:00.000Z,2023-12-15T23:59:59.999Z
14-12-2023,42884.26269172501,43390.86037350178,41767.0905401243,43023.97197419326,25578530177.94,841983433932.16,2023-12-14T00:00:00.000Z,2023-12-14T17:49:00.000Z,2023-12-14T13:31:00.000Z,2023-12-14T23:59:59.999Z
13-12-2023,41468.46586209618,43429.780621333666,40676.8681612393,42890.74073359007,26797884673.86,839333709178.59,2023-12-13T00:00:00.000Z,2023-12-13T22:16:00.000Z,2023-12-13T04:21:00.000Z,2023-12-13T23:59:59.999Z
12-12-2023,41238.73338997509,42048.30378185716,40667.56185095765,41450.222190466484,24779520131.83,811106735270.16,2023-12-12T00:00:00.000Z,2023-12-12T08:49:00.000Z,2023-12-12T18:00:00.000Z,2023-12-12T23:59:59.999Z
11-12-2023,43792.01785836507,43808.373055668526,40234.57833453312,41243.83331462401,40632672038.1,807028644888.58,2023-12-11T00:00:00.000Z,2023-12-11T00:10:00.000Z,2023-12-11T19:42:00.000Z,2023-12-11T23:59:59.999Z
10-12-2023,43728.38348009053,44034.624968777265,43593.28379530635,43779.697287995696,13000481418.42,856608048216.73,2023-12-10T00:00:00.000Z,2023-12-10T21:10:00.000Z,2023-12-10T23:22:00.000Z,2023-12-10T23:59:59.999Z
09-12-2023,44180.0209431358,44361.25735015471,43627.597180390476,43725.9858124315,17368210171.26,855518589113.84,2023-12-09T00:00:00.000Z,2023-12-09T05:31:00.000Z,2023-12-09T23:36:00.000Z,2023-12-09T23:59:59.999Z
08-12-2023,43293.13494739611,44705.51500941775,43125.29510350429,44166.60063818234,24421116686.73,864097723185.33,2023-12-08T00:00:00.000Z,2023-12-08T21:26:00.000Z,2023-12-08T10:21:00.000Z,2023-12-08T23:59:59.999Z
07-12-2023,43769.131074245546,44042.58802402473,42880.650128739006,43292.66423920804,27635760670.97,846962790499.37,2023-12-07T00:00:00.000Z,2023-12-07T04:40:00.000Z,2023-12-07T09:28:00.000Z,2023-12-07T23:59:59.999Z
